"time","latitude","longitude","sst"
"2022-01-01T00:00:00Z",1.89583262900001,-91.770832628,24.585
"2022-01-01T00:00:00Z",1.89583262900001,-91.729165961,24.635
"2022-01-01T00:00:00Z",1.89583262900001,-91.687499294,24.745
"2022-01-01T00:00:00Z",1.89583262900001,-91.645832627,24.86
"2022-01-01T00:00:00Z",1.89583262900001,-91.60416596,25.275
"2022-01-01T00:00:00Z",1.89583262900001,-91.562499293,25.35
"2022-01-01T00:00:00Z",1.89583262900001,-91.520832626,24.89
"2022-01-01T00:00:00Z",1.89583262900001,-91.479165959,24.88
"2022-01-01T00:00:00Z",1.89583262900001,-91.437499292,24.44
"2022-01-01T00:00:00Z",1.89583262900001,-91.395832625,24.305
"2022-01-01T00:00:00Z",1.89583262900001,-91.354165958,24.155
"2022-01-01T00:00:00Z",1.89583262900001,-91.312499291,24.33
"2022-01-01T00:00:00Z",1.89583262900001,-91.270832624,24.4
"2022-01-01T00:00:00Z",1.89583262900001,-91.229165957,24.445
"2022-01-01T00:00:00Z",1.89583262900001,-91.18749929,24.44
"2022-01-01T00:00:00Z",1.89583262900001,-91.145832623,24.465
"2022-01-01T00:00:00Z",1.89583262900001,-91.104165956,24.29
"2022-01-01T00:00:00Z",1.89583262900001,-91.062499289,24.185
"2022-01-01T00:00:00Z",1.89583262900001,-91.020832622,24.355
"2022-01-01T00:00:00Z",1.89583262900001,-90.979165955,24.355
"2022-01-01T00:00:00Z",1.89583262900001,-90.937499288,24.515
"2022-01-01T00:00:00Z",1.89583262900001,-90.895832621,24.895
"2022-01-01T00:00:00Z",1.89583262900001,-90.854165954,25.065
"2022-01-01T00:00:00Z",1.89583262900001,-90.812499287,24.855
"2022-01-01T00:00:00Z",1.89583262900001,-90.77083262,24.905
"2022-01-01T00:00:00Z",1.89583262900001,-90.729165953,25.38
"2022-01-01T00:00:00Z",1.89583262900001,-90.687499286,24.835
"2022-01-01T00:00:00Z",1.89583262900001,-90.645832619,25.3
"2022-01-01T00:00:00Z",1.89583262900001,-90.604165952,26.095
"2022-01-01T00:00:00Z",1.89583262900001,-90.562499285,24.48
"2022-01-01T00:00:00Z",1.89583262900001,-90.520832618,24.305
"2022-01-01T00:00:00Z",1.89583262900001,-90.479165951,24.02
"2022-01-01T00:00:00Z",1.89583262900001,-90.437499284,24.25
"2022-01-01T00:00:00Z",1.89583262900001,-90.395832617,24.205
"2022-01-01T00:00:00Z",1.89583262900001,-90.35416595,24.27
"2022-01-01T00:00:00Z",1.89583262900001,-90.312499283,24.11
"2022-01-01T00:00:00Z",1.89583262900001,-90.270832616,24.535
"2022-01-01T00:00:00Z",1.89583262900001,-90.229165949,24.655
"2022-01-01T00:00:00Z",1.89583262900001,-90.187499282,24.675
"2022-01-01T00:00:00Z",1.89583262900001,-90.145832615,24.535
"2022-01-01T00:00:00Z",1.89583262900001,-90.104165948,24.45
"2022-01-01T00:00:00Z",1.89583262900001,-90.062499281,24.19
"2022-01-01T00:00:00Z",1.89583262900001,-90.020832614,23.915
"2022-01-01T00:00:00Z",1.89583262900001,-89.979165947,24.15
"2022-01-01T00:00:00Z",1.89583262900001,-89.93749928,24.485
"2022-01-01T00:00:00Z",1.89583262900001,-89.895832613,24.645
"2022-01-01T00:00:00Z",1.89583262900001,-89.854165946,24.66
"2022-01-01T00:00:00Z",1.89583262900001,-89.812499279,24.765
"2022-01-01T00:00:00Z",1.89583262900001,-89.770832612,24.8
"2022-01-01T00:00:00Z",1.89583262900001,-89.729165945,24.835
"2022-01-01T00:00:00Z",1.89583262900001,-89.687499278,24.785
"2022-01-01T00:00:00Z",1.89583262900001,-89.645832611,24.705
"2022-01-01T00:00:00Z",1.89583262900001,-89.604165944,24.665
"2022-01-01T00:00:00Z",1.89583262900001,-89.562499277,24.655
"2022-01-01T00:00:00Z",1.89583262900001,-89.52083261,24.595
"2022-01-01T00:00:00Z",1.89583262900001,-89.479165943,24.615
"2022-01-01T00:00:00Z",1.89583262900001,-89.437499276,24.675
"2022-01-01T00:00:00Z",1.89583262900001,-89.395832609,24.14
"2022-01-01T00:00:00Z",1.89583262900001,-89.354165942,24.14
"2022-01-01T00:00:00Z",1.89583262900001,-89.312499275,24.36
"2022-01-01T00:00:00Z",1.89583262900001,-89.270832608,24.42
"2022-01-01T00:00:00Z",1.89583262900001,-89.229165941,24.61
"2022-01-01T00:00:00Z",1.89583262900001,-89.187499274,24.39
"2022-01-01T00:00:00Z",1.89583262900001,-89.145832607,24.47
"2022-01-01T00:00:00Z",1.89583262900001,-89.10416594,24.865
"2022-01-01T00:00:00Z",1.89583262900001,-89.062499273,25.035
"2022-01-01T00:00:00Z",1.89583262900001,-89.020832606,25.205
"2022-01-01T00:00:00Z",1.85416596200001,-92.02083263,24.71
"2022-01-01T00:00:00Z",1.85416596200001,-91.979165963,24.72
"2022-01-01T00:00:00Z",1.85416596200001,-91.937499296,24.535
"2022-01-01T00:00:00Z",1.85416596200001,-91.895832629,24.505
"2022-01-01T00:00:00Z",1.85416596200001,-91.854165962,24.59
"2022-01-01T00:00:00Z",1.85416596200001,-91.812499295,24.59
"2022-01-01T00:00:00Z",1.85416596200001,-91.770832628,24.495
"2022-01-01T00:00:00Z",1.85416596200001,-91.729165961,24.59
"2022-01-01T00:00:00Z",1.85416596200001,-91.687499294,24.66
"2022-01-01T00:00:00Z",1.85416596200001,-91.645832627,24.795
"2022-01-01T00:00:00Z",1.85416596200001,-91.60416596,24.675
"2022-01-01T00:00:00Z",1.85416596200001,-91.562499293,24.725
"2022-01-01T00:00:00Z",1.85416596200001,-91.520832626,24.705
"2022-01-01T00:00:00Z",1.85416596200001,-91.479165959,24.605
"2022-01-01T00:00:00Z",1.85416596200001,-91.437499292,24.37
"2022-01-01T00:00:00Z",1.85416596200001,-91.395832625,24.22
"2022-01-01T00:00:00Z",1.85416596200001,-91.354165958,24.395
"2022-01-01T00:00:00Z",1.85416596200001,-91.312499291,24.435
"2022-01-01T00:00:00Z",1.85416596200001,-91.270832624,24.395
"2022-01-01T00:00:00Z",1.85416596200001,-91.229165957,24.4
"2022-01-01T00:00:00Z",1.85416596200001,-91.18749929,24.475
"2022-01-01T00:00:00Z",1.85416596200001,-91.145832623,24.495
"2022-01-01T00:00:00Z",1.85416596200001,-91.104165956,24.255
"2022-01-01T00:00:00Z",1.85416596200001,-91.062499289,24.12
"2022-01-01T00:00:00Z",1.85416596200001,-91.020832622,24.06
"2022-01-01T00:00:00Z",1.85416596200001,-90.979165955,24.015
"2022-01-01T00:00:00Z",1.85416596200001,-90.937499288,24.11
"2022-01-01T00:00:00Z",1.85416596200001,-90.895832621,24.64
"2022-01-01T00:00:00Z",1.85416596200001,-90.854165954,24.555
"2022-01-01T00:00:00Z",1.85416596200001,-90.812499287,24.31
"2022-01-01T00:00:00Z",1.85416596200001,-90.77083262,24.79
"2022-01-01T00:00:00Z",1.85416596200001,-90.729165953,24.77
"2022-01-01T00:00:00Z",1.85416596200001,-90.687499286,24.605
"2022-01-01T00:00:00Z",1.85416596200001,-90.645832619,24.535
"2022-01-01T00:00:00Z",1.85416596200001,-90.604165952,24.54
"2022-01-01T00:00:00Z",1.85416596200001,-90.562499285,24.54
"2022-01-01T00:00:00Z",1.85416596200001,-90.520832618,24.175
"2022-01-01T00:00:00Z",1.85416596200001,-90.479165951,24.18
"2022-01-01T00:00:00Z",1.85416596200001,-90.437499284,24.02
"2022-01-01T00:00:00Z",1.85416596200001,-90.395832617,24.02
"2022-01-01T00:00:00Z",1.85416596200001,-90.35416595,24.32
"2022-01-01T00:00:00Z",1.85416596200001,-90.312499283,24.18
